Date,Total,Influneza A,Influneza B,Male,Female,Temperature,Minimum Temperature,Maximum Temperature,Relative humidity,Wind speed,Rainfall,Sunshine duration,Vapour pressure
2018/7/13,0,0,0,0,0,28.2,24.9,33.1,80,2.9,,7.9,30.1
2018/7/14,0,0,0,0,0,29.9,26.2,35.8,72,2.6,,11.7,29.5
2018/7/15,0,0,0,0,0,29.3,26.7,34.3,77,3.4,,10.2,31.1
2018/7/16,1,1,0,1,0,29.2,26.7,32.8,77,3.7,,10,31.0
2018/7/17,0,0,0,0,0,29.2,26.5,33.4,77,4.1,,10.3,31.0
2018/7/18,0,0,0,0,0,29.6,26.6,33.8,77,3.6,,11.2,31.6
2018/7/19,0,0,0,0,0,29.3,26.6,33.8,76,3.9,,11.8,30.7
2018/7/20,0,0,0,0,0,29.4,26.7,33.7,75,5.4,,12.8,30.3
2018/7/21,0,0,0,0,0,29.6,27.0,33.4,72,4.3,,12.2,29.9
2018/7/22,0,0,0,0,0,30.3,26.7,35.1,73,2.7,,9.7,31.3
2018/7/23,2,2,0,1,1,31.4,27.7,37.2,64,2.8,,12.2,29.0
2018/7/24,0,0,0,0,0,29.9,27.4,34.9,76,2.7,0.0,8.9,31.7
2018/7/25,0,0,0,0,0,29.0,26.0,33.2,77,3.3,0.0,6.6,30.6
2018/7/26,0,0,0,0,0,26.6,24.5,29.8,68,3.5,,2.2,23.7
2018/7/27,0,0,0,0,0,25.9,23.9,29.6,67,3.5,0.0,7.3,22.4
2018/7/28,0,0,0,0,0,24.1,20.3,28.2,94,6.0,52.0,0.1,28.3
2018/7/29,0,0,0,0,0,28.4,25.2,32.9,81,3.4,6.5,10.7,30.8
2018/7/30,0,0,0,0,0,28.4,25.7,33.3,80,3.1,0.0,8.6,30.4
2018/7/31,1,1,0,1,0,28.6,25.2,34.0,76,2.6,,12.1,29.2
2018/8/1,0,0,0,0,0,29.9,25.8,34.9,73,2.9,,12.7,30.4
2018/8/2,0,0,0,0,0,30.7,27.2,35.5,73,2.3,,10.1,32.0
2018/8/3,0,0,0,0,0,30.2,27.4,36.1,76,2.4,0.0,10.1,32.4
2018/8/4,1,1,0,1,0,29.6,27.3,34.3,75,2.8,0.0,9.7,30.7
2018/8/5,1,1,0,0,1,30.0,27.1,34.6,76,3.8,,10.8,32.0
2018/8/6,0,0,0,0,0,29.0,25.3,33.1,80,3.3,0.0,6.7,31.8
2018/8/7,0,0,0,0,0,22.7,21.6,25.4,91,6.2,4.0,0,25.1
2018/8/8,0,0,0,0,0,24.0,22.1,25.1,93,9.0,29.0,0,27.9
2018/8/9,1,1,0,1,0,27.2,23.9,32.1,85,6.3,4.5,2.8,30.4
2018/8/10,0,0,0,0,0,29.3,27.2,33.6,75,5.1,,12,30.5
2018/8/11,0,0,0,0,0,29.7,26.6,34.3,75,3.0,,10.2,31.3
2018/8/12,1,1,0,1,0,27.3,25.5,29.7,87,2.3,31.0,0.8,31.5
2018/8/13,0,0,0,0,0,28.4,26.2,33.8,80,2.5,0.0,6.4,30.7
2018/8/14,0,0,0,0,0,29.0,25.9,33.2,77,4.8,,11.8,30.7
2018/8/15,0,0,0,0,0,29.0,27.2,32.5,75,6.0,,12.3,29.9
2018/8/16,0,0,0,0,0,28.5,26.6,31.5,75,6.9,0.0,5.7,29.1
2018/8/17,0,0,0,0,0,26.5,23.1,29.9,46,5.7,0.5,8.5,15.6
2018/8/18,0,0,0,0,0,23.2,19.6,27.5,55,2.9,,10.6,15.5
2018/8/19,0,0,0,0,0,24.2,19.9,28.6,61,2.2,,9.6,18.1
2018/8/20,0,0,0,0,0,24.5,22.9,27.0,75,2.5,0.0,0.6,23.2
2018/8/21,1,1,0,1,0,28.0,23.8,33.2,81,3.6,0.0,10.3,30.3
2018/8/22,0,0,0,0,0,29.3,26.9,33.6,77,4.7,0.0,10.6,31.0
2018/8/23,0,0,0,0,0,29.2,26.7,32.9,79,5.4,0.0,7.7,31.6
2018/8/24,0,0,0,0,0,27.9,26.5,29.7,84,8.2,7.5,1.3,31.4
2018/8/25,0,0,0,0,0,30.2,27.1,33.8,71,5.9,,12.3,30.2
2018/8/26,0,0,0,0,0,31.0,27.5,35.7,69,2.4,,12.5,30.6
2018/8/27,0,0,0,0,0,29.7,25.1,35.6,77,2.5,1.5,10.7,31.3
2018/8/28,1,1,0,1,0,27.4,25.2,31.7,82,2.7,0.0,3.2,29.6
2018/8/29,0,0,0,0,0,26.7,25.1,29.9,83,2.3,0.0,1.3,29.1
2018/8/30,0,0,0,0,0,28.7,25.7,33.0,76,4.3,,8.7,29.4
2018/8/31,1,1,0,0,1,29.7,26.0,34.6,69,4.6,,11.8,28.6
2018/9/1,0,0,0,0,0,27.7,22.8,31.2,74,3.4,11.0,1.5,27.5
2018/9/2,0,0,0,0,0,22.6,21.1,24.1,89,3.0,6.0,0,24.3
2018/9/3,0,0,0,0,0,24.1,22.0,27.5,89,2.2,12.0,1,26.7
2018/9/4,1,0,1,1,0,26.9,23.5,29.9,86,6.3,23.0,0.6,30.4
2018/9/5,0,0,0,0,0,27.2,22.1,31.1,75,7.1,22.0,8.8,26.8
2018/9/6,0,0,0,0,0,27.4,25.7,31.2,66,5.3,0.0,4.9,23.9
2018/9/7,0,0,0,0,0,27.2,25.3,30.9,78,5.8,0.5,1.7,28.2
2018/9/8,1,1,0,1,0,27.9,25.8,31.7,79,6.1,0.0,10.7,29.4
2018/9/9,0,0,0,0,0,27.9,25.6,31.5,77,5.3,0.0,9,28.7
2018/9/10,7,7,0,2,5,25.1,22.0,29.5,89,3.2,45.0,2.8,28.3
2018/9/11,8,8,0,3,5,22.2,20.6,25.1,75,3.1,1.0,0.4,20.0
2018/9/12,2,2,0,2,0,21.6,19.1,24.7,66,3.2,0.5,3.2,17.0
2018/9/13,6,6,0,3,3,22.6,18.9,26.2,75,2.9,0.0,2.1,20.7
2018/9/14,4,4,0,1,3,21.7,19.3,23.1,92,2.0,18.0,0,24.0
2018/9/15,10,10,0,5,5,20.8,19.3,22.3,96,2.0,19.0,0,23.7
2018/9/16,0,0,0,0,0,22.8,20.9,26.1,90,1.7,0.5,2.4,24.8
2018/9/17,5,5,0,2,3,25.3,21.4,30.8,82,2.5,32.0,8.5,25.8
2018/9/18,8,8,0,6,2,24.1,21.2,28.8,82,2.3,11.0,6.8,24.3
2018/9/19,7,7,0,1,6,23.0,19.7,27.3,67,2.9,0.0,9.3,18.2
2018/9/20,5,5,0,3,2,20.4,16.2,23.5,83,2.6,34.0,0,19.7
2018/9/21,9,9,0,6,3,17.9,16.0,20.0,97,5.8,17.0,0,20.0
2018/9/22,10,10,0,4,6,22.2,19.5,25.5,87,1.8,0.0,3.2,23.4
2018/9/23,1,1,0,1,0,24.7,22.9,28.4,73,2.4,0.0,3.7,22.5
2018/9/24,3,3,0,2,1,24.9,22.7,28.7,80,2.6,0.0,4.7,25.0
2018/9/25,13,12,1,6,7,21.6,19.2,23.7,95,2.5,22.5,0,24.5
2018/9/26,4,4,0,3,1,17.8,16.2,19.6,95,5.2,31.5,0,19.3
2018/9/27,4,4,0,2,2,16.4,15.2,18.1,92,4.5,15.0,0.2,17.1
2018/9/28,4,4,0,1,3,20.4,15.2,25.6,72,2.3,,11.3,16.7
2018/9/29,6,5,1,1,5,19.1,17.6,20.5,90,2.9,10.5,0,19.9
2018/9/30,3,3,0,1,2,20.9,17.1,26.6,94,5.3,41.0,2.6,23.4
2018/10/1,8,8,0,4,4,25.9,20.7,31.2,59,8.3,8.5,11,19.5
2018/10/2,8,8,0,5,3,22.3,18.6,26.8,55,2.1,,10.8,14.7
2018/10/3,8,8,0,6,2,20.9,18.2,23.2,75,2.3,,0.5,18.6
2018/10/4,2,2,0,0,2,20.7,19.8,22.1,74,2.7,0.0,0,18.1
2018/10/5,9,9,0,3,6,18.9,17.9,20.0,91,4.6,7.5,0,19.8
2018/10/6,12,12,0,6,6,23.7,18.2,29.3,87,3.9,0.0,6.5,25.6
2018/10/7,2,2,0,2,0,27.5,24.2,32.4,65,4.9,,10.1,23.8
2018/10/8,3,3,0,2,1,22.5,20.5,24.3,70,2.6,0.0,0.6,19.0
2018/10/9,8,8,0,4,4,22.3,19.1,27.0,75,3.0,,8.3,19.9
2018/10/10,7,6,1,3,4,22.9,20.3,26.5,77,2.1,2.0,7.2,21.3
2018/10/11,2,2,0,2,0,22.4,20.3,24.7,90,2.5,1.0,0.9,24.2
2018/10/12,1,1,0,1,0,20.7,18.9,23.7,74,3.5,0.0,0.3,18.0
2018/10/13,3,3,0,2,1,18.0,16.2,19.2,61,3.1,0.5,0,12.6
2018/10/14,1,1,0,1,0,16.9,13.6,20.8,80,3.3,10.0,2.2,15.3
2018/10/15,2,2,0,0,2,18.5,16.9,21.0,78,2.0,0.0,0.1,16.5
2018/10/16,2,1,1,2,0,18.8,16.1,21.5,74,2.6,0.0,0.9,15.8
2018/10/17,2,1,1,2,0,18.7,15.9,23.5,73,3.2,1.0,4.3,15.6
2018/10/18,0,0,0,0,0,18.2,15.4,21.8,70,3.2,,6,14.4
2018/10/19,0,0,0,0,0,17.2,15.5,20.0,73,4.4,0.0,0.5,14.3
2018/10/20,0,0,0,0,0,17.4,14.5,22.5,73,4.5,12.5,6,14.2
2018/10/21,2,2,0,0,2,17.8,14.8,22.1,49,4.1,,10.6,9.8
2018/10/22,3,3,0,1,2,17.1,12.6,21.9,59,2.9,,10,11.4
2018/10/23,2,1,1,1,1,15.4,13.3,16.6,77,4.4,0.5,0.2,13.5
2018/10/24,0,0,0,0,0,18.5,14.9,22.5,75,3.0,,5.9,15.9
2018/10/25,0,0,0,0,0,18.8,16.0,22.1,59,2.7,,9,12.7
2018/10/26,0,0,0,0,0,18.4,16.1,21.3,65,1.9,0.0,1.7,13.8
2018/10/27,1,1,0,0,1,19.9,16.2,24.6,82,3.4,20.5,5.2,19.0
2018/10/28,1,1,0,0,1,17.9,15.5,21.5,66,2.9,,6.4,13.6
2018/10/29,3,2,1,3,0,17.9,13.1,22.7,60,3.1,,10.4,12.2
2018/10/30,2,2,0,0,2,18.3,13.8,23.8,53,3.3,,9.9,10.9
2018/10/31,1,1,0,0,1,16.0,13.3,20.6,49,2.8,,6.6,9.0
2018/11/1,1,1,0,0,1,14.8,11.7,19.9,48,3.4,,5.5,8.0
2018/11/2,1,1,0,1,0,14.9,11.0,19.1,56,2.8,,10.3,9.4
2018/11/3,2,2,0,0,2,15.6,11.4,19.9,65,2.4,0.0,4.6,11.5
2018/11/4,0,0,0,0,0,14.9,14.0,16.1,81,3.1,2.0,0,13.7
2018/11/5,2,2,0,2,0,17.8,14.8,20.7,86,2.2,0.0,1.7,17.5
2018/11/6,0,0,0,0,0,17.9,16.4,20.3,96,2.9,31.5,0.6,19.6
2018/11/7,3,3,0,2,1,17.3,15.5,20.2,71,3.1,0.0,2,13.9
2018/11/8,5,5,0,4,1,17.2,13.6,20.8,68,4.2,0.0,6.2,13.4
2018/11/9,5,5,0,2,3,16.0,14.6,17.4,96,2.8,6.0,0,17.4
2018/11/10,5,4,1,0,5,18.4,15.4,23.2,80,2.6,0.5,5.9,16.8
2018/11/11,2,2,0,1,1,17.3,14.9,20.2,58,2.2,,4.9,11.4
2018/11/12,7,7,0,3,4,16.2,13.2,19.4,76,2.4,1.0,2.2,14.0
2018/11/13,2,2,0,0,2,15.8,13.5,17.3,76,2.6,1.0,0,13.7
2018/11/14,3,3,0,1,2,14.3,11.9,17.3,58,3.9,0.5,7.3,9.3
2018/11/15,10,9,1,3,7,13.2,9.1,17.4,56,3.1,,10,8.4
2018/11/16,7,7,0,2,5,13.3,9.0,17.7,67,2.1,,5.9,10.1
2018/11/17,2,2,0,1,1,15.6,12.1,20.5,59,2.7,,8.1,10.1
2018/11/18,9,8,1,4,5,14.7,11.9,17.5,67,2.5,0.0,4.9,11.2
2018/11/19,19,19,0,6,13,14.0,11.8,16.2,80,2.4,3.0,0.2,12.8
2018/11/20,8,8,0,3,5,12.6,10.1,15.4,60,2.9,0.0,4.7,8.7
2018/11/21,4,4,0,2,2,12.8,8.0,17.2,65,2.3,2.0,9.1,9.8
2018/11/22,12,12,0,8,4,12.1,9.2,14.3,69,3.4,5.5,0,9.6
2018/11/23,3,3,0,0,3,12.0,9.2,16.1,45,3.5,,8.4,6.3
2018/11/24,10,10,0,3,7,10.6,8.5,13.7,56,2.7,,3.3,7.2
2018/11/25,6,6,0,3,3,11.0,7.0,15.3,65,2.8,,8.7,8.6
2018/11/26,11,11,0,5,6,13.1,8.7,16.8,68,2.1,,6,10.1
2018/11/27,10,10,0,6,4,14.1,10.6,17.9,79,2.2,2.5,5.4,12.7
2018/11/28,4,4,0,2,2,14.7,10.9,17.6,72,2.3,0.0,7.2,11.9
2018/11/29,4,4,0,3,1,13.4,11.9,15.9,74,2.8,0.5,5.2,11.3
2018/11/30,8,8,0,5,3,13.0,9.6,16.0,54,3.7,,8.6,8.1
2018/12/1,6,6,0,4,2,12.6,8.5,18.3,57,3.3,,8.4,8.4
2018/12/2,5,5,0,0,5,10.6,8.8,12.0,56,3.9,0.0,0.3,7.2
2018/12/3,9,9,0,1,8,13.1,8.9,15.7,73,1.7,0.0,1.4,11.1
2018/12/4,27,27,0,6,21,17.9,12.0,23.3,80,4.0,15.5,7.8,16.9
2018/12/5,8,8,0,3,5,17.6,14.6,20.5,61,3.8,0.0,4.2,12.3
2018/12/6,11,11,0,6,5,10.7,8.8,14.7,88,4.1,18.5,0,11.3
2018/12/7,19,19,0,10,9,13.6,11.0,18.2,78,2.3,,4.2,12.3
2018/12/8,12,12,0,4,8,10.4,9.3,13.0,63,3.2,,1.5,8.0
2018/12/9,10,10,0,6,4,8.2,6.0,10.3,41,5.1,,0.8,4.5
2018/12/10,25,24,1,16,9,7.0,5.6,9.6,46,3.8,,0.8,4.6
2018/12/11,26,26,0,14,12,5.1,3.1,7.3,70,4.7,6.5,0.6,6.1
2018/12/12,11,11,0,2,9,7.4,3.6,10.9,80,5.1,19.5,0,8.1
2018/12/13,29,26,3,19,10,7.9,5.9,10.1,51,3.8,0.0,1,5.4
2018/12/14,32,31,1,21,11,6.9,4.0,10.5,50,5.8,,6.6,4.8
2018/12/15,41,41,0,20,21,6.6,4.7,10.1,39,5.0,0.0,4.7,3.8
2018/12/16,27,27,0,16,11,4.5,2.0,6.9,65,2.5,1.0,1.5,5.5
2018/12/17,70,69,1,28,42,7.7,4.3,12.0,81,2.0,5.0,4.1,8.6
2018/12/18,75,73,2,44,31,9.4,6.3,13.4,59,3.4,,8,6.8
2018/12/19,89,87,2,52,37,9.5,4.7,13.8,52,3.2,,9.2,6.2
2018/12/20,111,110,1,62,49,9.9,6.4,14.0,61,2.1,,6.7,7.5
2018/12/21,111,108,3,47,64,9.9,5.4,14.0,57,2.2,,9.1,6.8
2018/12/22,107,107,0,54,53,10.2,8.9,12.0,69,2.5,1.5,0,8.6
2018/12/23,131,131,0,68,63,10.7,9.4,12.7,82,2.3,2.5,0.2,10.5
2018/12/24,134,133,1,59,75,8.5,5.4,11.5,49,5.7,,2.8,5.5
2018/12/25,258,257,1,136,122,6.9,4.4,10.0,48,2.7,,8.9,4.8
2018/12/26,187,185,2,95,92,8.1,3.2,12.0,58,1.9,,3.7,6.3
2018/12/27,166,166,0,88,78,9.5,6.0,13.9,53,2.7,,7.7,6.3
2018/12/28,211,208,3,116,95,5.4,2.9,8.8,34,6.0,,7.2,3.0
2018/12/29,200,200,0,98,102,5.2,1.1,10.7,34,3.9,,7.5,3.1
2018/12/30,134,134,0,65,69,5.5,2.4,10.4,33,4.7,,6.8,2.9
2018/12/31,192,192,0,105,87,6.0,2.9,8.9,39,4.3,,5.6,3.6
2019/1/1,207,207,0,113,94,6.8,3.6,11.4,50,2.4,,7.8,5.0
2019/1/2,273,272,1,138,135,6.7,3.2,11.6,46,3.5,,7.6,4.4
2019/1/3,327,325,2,161,166,5.8,1.5,11.3,46,3.6,,9,4.2
2019/1/4,577,576,1,276,301,6.8,2.5,10.0,54,2.7,,8.9,5.3
2019/1/5,466,465,1,237,229,8.1,2.8,14.5,50,3.1,,9.3,5.4
2019/1/6,280,279,1,128,152,5.6,3.6,7.3,44,3.9,,0,4.0
2019/1/7,751,746,5,406,345,6.7,2.6,11.5,36,3.3,,6.6,3.5
2019/1/8,622,621,1,331,291,6.2,1.9,11.9,56,2.5,,8.5,5.4
2019/1/9,664,663,1,363,301,5.4,2.5,8.7,42,5.5,,9.1,3.7
2019/1/10,754,752,2,413,341,3.7,1.2,6.9,46,2.2,,1.9,3.7
2019/1/11,862,859,3,442,420,7.5,1.8,13.3,44,4.0,,8.5,4.4
2019/1/12,806,804,2,426,380,5.4,4.2,6.8,63,3.8,0.0,0,5.7
2019/1/13,672,672,0,324,348,7.3,4.8,11.0,58,3.5,0.0,7.9,5.8
2019/1/14,618,616,2,324,294,6.5,2.7,10.9,54,2.7,,9.4,5.1
2019/1/15,1626,1617,9,852,774,6.8,2.2,11.6,69,3.0,1.0,3.1,7.0
2019/1/16,1053,1045,8,580,473,7.9,4.4,11.8,47,4.6,,6.6,5.0
2019/1/17,1021,1019,2,533,488,7.7,4.1,12.2,45,2.6,,9.6,4.8
2019/1/18,1180,1179,1,594,586,6.5,3.3,10.8,35,4.7,,9.5,3.3
2019/1/19,993,990,3,500,493,7.4,3.3,12.0,40,2.5,,9.5,4.2
2019/1/20,640,639,1,319,321,8.1,3.2,16.3,52,2.8,,6,5.7
2019/1/21,1718,1717,1,931,787,6.6,3.2,10.5,39,4.0,,8.3,3.8
2019/1/22,1153,1151,2,580,573,6.1,2.3,11.1,45,3.5,,8.5,4.2
2019/1/23,919,915,4,449,470,7.6,3.0,12.0,49,3.4,,9.2,5.2
2019/1/24,987,986,1,506,481,6.9,4.5,11.1,35,6.0,,8.5,3.4
2019/1/25,1020,1019,1,511,509,5.9,3.4,8.0,42,3.3,0.0,0.2,3.9
2019/1/26,879,877,2,423,456,5.2,2.3,10.0,44,6.0,0.0,6,3.8
2019/1/27,481,480,1,252,229,5.6,2.3,10.1,36,4.5,,10.1,3.2
2019/1/28,1387,1383,4,704,683,7.6,2.3,13.3,46,4.6,,7.1,4.8
2019/1/29,938,935,3,471,467,6.8,3.7,10.9,35,6.1,,9.9,3.4
2019/1/30,765,758,7,382,383,6.2,2.5,10.3,56,2.5,,6.2,5.4
2019/1/31,698,693,5,343,355,5.7,2.1,10.5,75,3.0,13.5,0.6,6.9
2019/2/1,749,747,2,395,354,4.9,2.5,9.3,41,6.5,,9.8,3.5
2019/2/2,584,583,1,306,278,7.3,1.0,13.1,49,1.9,,10.1,5.1
2019/2/3,319,318,1,168,151,9.6,3.7,14.4,61,3.6,,9.4,7.5
2019/2/4,767,765,2,397,370,14.1,6.8,20.6,55,5.5,0.0,7.9,9.1
2019/2/5,485,483,2,267,218,7.1,5.9,8.0,54,3.5,0.0,0,5.5
2019/2/6,394,391,3,199,195,6.6,5.2,8.3,82,3.5,5.5,0.6,8.1
2019/2/7,341,340,1,170,171,11.3,4.8,17.0,70,4.3,,6.9,9.0
2019/2/8,324,320,4,163,161,6.5,4.0,12.3,39,5.5,,3.8,3.8
2019/2/9,243,242,1,130,113,1.5,-0.2,4.2,76,4.8,2.5,0,5.1
2019/2/10,186,186,0,89,97,4.2,1.0,8.2,49,4.3,0.0,7.8,3.9
2019/2/11,160,159,1,77,83,3.6,1.5,5.1,69,2.9,0.0,0,5.5
2019/2/12,392,392,0,213,179,6.3,2.0,9.6,48,3.6,0.0,4.2,4.5
2019/2/13,208,208,0,105,103,5.8,4.1,8.9,49,3.5,0.0,1.8,4.6
2019/2/14,151,151,0,76,75,4.9,3.0,7.9,39,5.3,,3.2,3.3
2019/2/15,170,170,0,92,78,3.3,0.9,5.4,68,2.9,0.5,0.3,5.3
2019/2/16,111,108,3,63,48,6.8,3.3,11.3,53,3.6,0.0,4.9,5.1
2019/2/17,62,60,2,29,33,6.8,4.7,11.7,35,4.5,,4.3,3.5
2019/2/18,176,175,1,95,81,8.6,3.2,14.0,48,2.6,,10.3,5.6
2019/2/19,102,100,2,54,48,9.9,6.7,12.8,70,2.7,2.0,0,8.8
2019/2/20,81,81,0,41,40,11.9,7.3,18.7,77,2.9,5.5,7.6,10.7
2019/2/21,87,86,1,50,37,10.5,8.0,14.9,44,4.9,0.5,2.4,5.5
2019/2/22,94,93,1,45,49,9.8,5.8,13.5,59,3.3,0.0,6.7,7.3
2019/2/23,61,57,4,21,40,9.5,6.5,14.5,42,6.0,0.0,7.3,4.9
2019/2/24,30,30,0,15,15,9.9,5.0,14.1,48,3.0,,9,6.2
2019/2/25,91,89,2,45,46,13.6,11.2,18.1,75,2.7,0.0,3.5,11.6
2019/2/26,77,77,0,38,39,10.5,9.1,12.4,59,3.2,0.0,2,7.4
2019/2/27,44,44,0,21,23,8.3,6.2,10.8,54,2.9,2.5,0.4,5.9
2019/2/28,50,49,1,30,20,7.1,5.9,7.9,86,3.8,29.5,0,8.7
2019/3/1,45,41,4,21,24,9.3,7.2,11.8,74,2.2,3.0,0,8.6
2019/3/2,48,47,1,23,25,10.3,7.5,14.7,39,4.0,,9.4,4.8
2019/3/3,17,17,0,7,10,6.9,5.1,10.0,81,4.9,10.0,0,7.9
2019/3/4,68,62,6,35,33,8.0,6.4,10.2,95,6.2,19.5,0,10.2
2019/3/5,38,38,0,21,17,9.9,5.7,14.0,67,3.0,0.5,9,8.0
2019/3/6,47,38,9,25,22,11.8,9.5,14.4,78,2.0,2.5,0,10.8
2019/3/7,23,20,3,7,16,8.6,6.3,10.8,91,4.7,22.5,0,10.2
2019/3/8,36,35,1,18,18,8.0,4.5,12.7,44,5.7,,11.3,4.6
2019/3/9,21,19,2,10,11,10.9,4.8,17.0,49,4.6,,11.1,6.4
2019/3/10,11,9,2,7,4,13.3,9.9,15.9,64,2.8,7.0,3.1,9.8
2019/3/11,35,26,9,17,18,12.9,9.9,18.1,73,4.2,28.5,5.3,10.7
2019/3/12,18,18,0,9,9,12.9,7.9,18.1,48,2.8,,11,7.2
2019/3/13,20,14,6,13,7,12.2,7.2,17.6,43,5.5,,11.4,6.0
2019/3/14,24,21,3,10,14,9.0,5.4,12.9,35,3.6,,10.9,4.0
2019/3/15,16,15,1,5,11,10.1,5.6,15.1,41,3.7,,9.7,5.2
2019/3/16,15,14,1,7,8,9.8,7.3,13.6,55,3.4,0.0,3.3,6.6
2019/3/17,12,11,1,4,8,9.9,5.8,15.9,40,4.3,,9.8,4.9
2019/3/18,23,20,3,14,9,10.6,6.0,15.5,44,3.9,,10.3,5.7
2019/3/19,19,14,5,10,9,13.9,8.9,18.7,48,2.7,,3,7.5
2019/3/20,17,11,6,11,6,15.1,9.9,20.9,48,3.6,,11.2,8.1
2019/3/21,5,4,1,3,2,17.3,14.1,21.0,74,5.6,0.0,3.4,14.6
2019/3/22,22,16,6,14,8,16.8,9.4,22.1,58,4.3,,6.7,11.4
2019/3/23,12,7,5,4,8,6.6,4.0,9.5,60,3.9,1.0,0,5.8
2019/3/24,7,5,2,5,2,8.5,2.3,14.0,38,2.9,,11.7,4.1
2019/3/25,9,8,1,5,4,10.7,5.2,15.7,44,3.6,,7.9,5.8
2019/3/26,17,14,3,7,10,11.4,9.4,14.2,64,2.3,1.5,3.8,8.6
2019/3/27,15,9,6,6,9,14.0,7.9,19.0,43,6.0,,10.7,6.9
2019/3/28,10,6,4,6,4,13.7,9.7,17.2,52,5.0,0.0,4.2,8.2
2019/3/29,8,5,3,3,5,8.3,7.4,9.7,57,3.0,0.0,0,6.2
2019/3/30,10,8,2,5,5,9.5,7.6,13.2,73,3.6,4.0,0.6,8.8
2019/3/31,7,3,4,1,6,11.3,8.0,15.6,71,3.1,1.0,5.9,9.3
2019/4/1,17,13,4,10,7,8.4,5.3,14.7,64,3.3,2.5,5.6,6.9
2019/4/2,9,6,3,5,4,7.8,4.3,13.3,51,3.9,0.0,8.2,5.3
2019/4/3,14,9,5,9,5,8.6,3.8,14.4,36,3.9,,11.9,3.9
2019/4/4,10,7,3,4,6,11.4,5.5,16.9,41,3.1,,11.8,5.6
2019/4/5,17,13,4,9,8,16.0,9.1,21.7,42,5.8,,11,7.4
2019/4/6,10,8,2,7,3,16.0,12.2,20.7,45,3.0,,11,8.2
2019/4/7,7,5,2,1,6,15.6,11.4,20.1,50,2.9,,10,9.1
2019/4/8,33,19,14,20,13,10.1,7.5,15.4,76,3.0,11.5,1.6,9.4
2019/4/9,12,6,6,5,7,11.4,6.4,17.6,42,4.5,,9.4,5.4
2019/4/10,30,8,22,17,13,6.2,3.6,10.9,87,4.6,26.0,0,8.1
2019/4/11,17,13,4,8,9,11.0,5.1,16.2,54,6.9,0.0,9.3,6.6
2019/4/12,23,9,14,9,14,9.4,7.9,10.7,51,2.9,0.0,0.2,6.1
2019/4/13,20,6,14,13,7,12.2,6.7,17.8,44,3.5,,12.1,6.1
2019/4/14,7,4,3,4,3,15.1,11.1,18.7,59,4.1,0.0,4,10.1
2019/4/15,55,20,35,31,24,15.9,12.5,21.9,56,4.0,10.0,7,9.7
2019/4/16,33,10,23,17,16,15.3,10.6,20.5,43,4.5,,12.4,7.6
2019/4/17,28,8,20,8,20,15.7,12.4,19.2,64,2.6,,0.6,11.3
2019/4/18,22,5,17,10,12,17.1,13.7,22.3,61,3.4,,10.3,11.7
2019/4/19,43,17,26,20,23,18.6,15.3,23.6,66,3.2,0.0,8.5,14.0
2019/4/20,32,10,22,17,15,14.5,11.1,19.1,63,4.2,0.0,11.7,10.4
2019/4/21,16,9,7,8,8,17.8,13.0,22.2,70,2.9,,8.3,14.2
2019/4/22,41,6,35,24,17,19.4,16.0,24.7,69,2.6,0.0,8.6,15.4
2019/4/23,23,8,15,12,11,18.8,16.6,22.9,57,3.1,0.0,6,12.5
2019/4/24,34,6,28,23,11,19.1,18.2,21.6,85,4.7,0.5,0.1,18.7
2019/4/25,20,7,13,12,8,20.1,18.2,24.2,90,2.8,6.0,3.6,21.1
2019/4/26,30,7,23,15,15,12.2,10.2,19.5,93,3.5,4.5,0,13.4
2019/4/27,18,3,15,6,12,10.4,8.4,12.9,77,3.5,12.5,0.4,9.8
2019/4/28,16,9,7,7,9,12.7,6.7,18.5,43,3.8,,10.1,6.1
2019/4/29,13,4,9,5,8,15.0,11.8,18.3,64,3.1,0.0,0.6,10.9
2019/4/30,24,5,19,12,12,15.2,13.2,18.8,92,3.8,20.0,0,15.8
2019/5/1,25,8,17,14,11,17.4,14.3,22.7,90,3.5,19.0,3.8,17.8
2019/5/2,23,3,20,16,7,17.9,14.6,22.0,68,2.1,1.5,5.8,13.6
2019/5/3,20,6,14,9,11,18.4,13.3,24.5,53,2.4,,10.4,11.1
2019/5/4,15,2,13,9,6,17.8,14.2,24.3,73,3.0,11.0,5.8,14.8
2019/5/5,15,7,8,4,11,18.7,13.0,24.8,64,3.2,,12.8,13.6
2019/5/6,7,2,5,3,4,18.5,15.6,23.6,72,4.2,1.5,2.1,15.0
2019/5/7,14,3,11,6,8,16.0,12.4,20.0,49,4.2,0.0,4.3,8.9
2019/5/8,14,2,12,4,10,16.6,9.7,21.5,44,4.6,,13.2,8.4
2019/5/9,12,2,10,6,6,18.7,16.4,21.3,52,5.2,,0.5,11.1
2019/5/10,12,3,9,4,8,19.9,15.0,26.0,49,2.7,,10.7,11.0
2019/5/11,17,5,12,9,8,20.6,16.3,27.5,64,2.6,,10.8,15.0
2019/5/12,12,3,9,7,5,18.0,15.5,22.0,74,3.4,0.0,5.3,15.1
2019/5/13,26,6,20,14,12,17.9,14.6,22.6,70,2.7,2.0,4.4,14.3
2019/5/14,20,4,16,10,10,17.2,15.2,18.4,88,3.4,9.5,0,17.3
2019/5/15,18,1,17,9,9,18.2,15.2,22.4,75,2.8,0.0,7.3,15.6
